"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"AUDI","E-TRON SLINE","","TSB",""
"AUDI","E-TRON SPORTBACK ADVANCED","","TSB",""
"AUDI","E-TRON SPORTBACK SLINE","","TSB",""
"AUDI","Q2","Q2","HER İKİSİ",""
"AUDI","Q3","","TSB",""
"AUDI","Q3 SPORTBACK","Q3 Sportback","HER İKİSİ",""
"AUDI","Q3 SPORTBACK TFSI","","TSB",""
"AUDI","Q3 TFSI","","TSB",""
"AUDI","Q4","","TSB",""
"AUDI","","Q4 e-tron","HER İKİSİ",""
"AUDI","","Q4 Sportback e-tron","HER İKİSİ",""
"AUDI","Q5","Q5","HER İKİSİ",""
"AUDI","Q5 SPORTBACK","Q5 Sportback","HER İKİSİ",""
"AUDI","Q5SPORTBACK 40TDI","","TSB",""
"AUDI","Q5SPORTBACK 45TFSIQUATTRO","","TSB",""
"AUDI","Q6 E-TRON","","TSB",""
"AUDI","Q6 SPORTBACK E-TRON","Q6 Sportback e-tron","HER İKİSİ",""
"AUDI","","Q6 Suv e-tron","SIFIR",""
"AUDI","Q7","Q7","HER İKİSİ",""
"AUDI","Q7 SLINE","","TSB",""
"AUDI","Q8","Q8","HER İKİSİ",""
"AUDI","Q8 E-TRON","","TSB",""
"AUDI","Q8 E-TRON ADVANCED","","TSB",""
"AUDI","Q8 SPORTBACK E-TRON","","TSB",""
"AUDI","Q8 SPORTBACK E-TRON ADVANCED","","TSB",""
"AUDI","R8","","TSB",""
"AUDI","R8 SPYDER","","TSB",""
"AUDI","RS","","TSB",""
"AUDI","","Rs 3 Sedan","SIFIR",""
"AUDI","","RS E-tron GT","SIFIR",""
"AUDI","","Rs e-tron GT Performance","SIFIR",""
"AUDI","","RS Q8","SIFIR",""
"AUDI","RS3","","TSB",""
"AUDI","RS3 SPORTBACK","RS3 Sportback","HER İKİSİ",""
"AUDI","RS3 SPORTBACK 2.5TFSI","","TSB",""
"AUDI","RS4 AVANT","","TSB",""
"AUDI","RS4 AVANT PI","","TSB",""
"AUDI","RS5","","TSB",""
"AUDI","RS5 PI","","TSB",""
"AUDI","RS5 SPORTBACK 3.0TFSI","","TSB",""
"AUDI","RS6 AVANT","","TSB",""
"AUDI","RS6 AVANT PERFORMANCE","","TSB",""
"AUDI","RS7 SPORTBACK","","TSB",""
"AUDI","RS7 SPORTBACK PERFORMANCE","","TSB",""
"AUDI","S","","TSB",""
"AUDI","","S e-tron GT","SIFIR",""
"AUDI","S3","","TSB",""
"AUDI","","S3 Sedan","SIFIR",""
"AUDI","S3 SPORTBACK","S3 Sportback","HER İKİSİ",""
"AUDI","S4","","TSB",""
"AUDI","S4 AVANT","","TSB",""
"AUDI","S5","","TSB",""
"AUDI","S5 AVANT","S5 Avant","HER İKİSİ",""
"AUDI","S5 CABRIOLET","","TSB",""
"AUDI","","S5 Sedan","SIFIR",""
"AUDI","S5 SPORTBACK","","TSB",""
"AUDI","S5 SPORTBACK PI","","TSB",""
"AUDI","S6","","TSB",""
"AUDI","S6 AVANT","","TSB",""
"AUDI","S6 TDI","","TSB",""
"AUDI","S7 SPORTBACK","","TSB",""
"AUDI","S8","S8","HER İKİSİ",""
"AUDI","SQ5","","TSB",""
"AUDI","SQ5 TDI","","TSB",""
"AUDI","SQ7","","TSB",""
"AUDI","SQ7 TDI","","TSB",""
"AUDI","SQ8 TDI","","TSB",""
"AUDI","SQ8 TFSI","","TSB",""
"AUDI","TT","","TSB",""
"AUDI","TT ROADSTAR","","TSB",""
"AUDI","TT ROASTAR","","TSB",""
"AUDI","TTR","","TSB",""
"AUDI","TTRS","","TSB",""
"AUDI","TTS","","TSB",""
"AUDI","TTS ROADSTAR","","TSB",""
"AUDI","","Yeni A6 Avant","HER İKİSİ",""
"AUDI","","Yeni Q3","SIFIR",""
"AVIA","KAMYON D100","","TSB",""
"AVIA","KAMYON D100 E","","TSB",""
"AVIA","KAMYON D100 K","","TSB",""
"AVIA","KAMYON D100 L","","TSB",""
"AVIA","KAMYON D100 N","","TSB",""
"AVIA","KAMYON D120","","TSB",""
"AVIA","KAMYON D120 E","","TSB",""
"AVIA","KAMYON D120 G","","TSB",""
"AVIA","KAMYON D120 L","","TSB",""
"AVIA","KAMYON D120 N","","TSB",""
"AVIA","KAMYON D75","","TSB",""
"AVIA","KAMYON D75 E","","TSB",""
"AVIA","KAMYON D75 K","","TSB",""
"AVIA","KAMYON D75 L","","TSB",""
"AVIA","KAMYON D75 N","","TSB",""
"BENTLEY","BENTAYGA","","TSB",""
"BENTLEY","BENTAYGA AZURE V8","","TSB",""
