"SF_MARKA","SF_MODEL","SF_VERSIYON","TSB_TIP_ADI"
"PEUGEOT","Partner Van","Comfort Uzun 1.5 BlueHDi 130hp EAT8","(TSB'de bulunamadı)"
"PEUGEOT","E-3008","Allure  157kW (210hp)","(TSB'de bulunamadı)"
"PEUGEOT","E-3008","GT  157kW (210hp)","(TSB'de bulunamadı)"
"PEUGEOT","Boxer Van","L4H2 2.2 BlueHDi 180hp EAT8 S&S (15 m3)","(TSB'de bulunamadı)"
"PEUGEOT","Boxer Van","L4H2 2.2 BlueHDi 180hp EAT8 S&S (17 m3)","(TSB'de bulunamadı)"
"PEUGEOT","Boxer Minibüs","Okul 2.2 BlueHDi 140hp MT6 S&S","(TSB'de bulunamadı)"
"PEUGEOT","E-5008","Allure  210Hp (157 kW)","(TSB'de bulunamadı)"
"PEUGEOT","E-5008","GT  210Hp (157 kW)","(TSB'de bulunamadı)"
"HONDA","HR-V e:HEV","Elegance 1.5L e:HEV Hybrid","(TSB'de bulunamadı)"
"HONDA","HR-V e:HEV","Advance 1.5L e:HEV Hybrid","(TSB'de bulunamadı)"
"HONDA","CR-V e:HEV","Advance 2.0 L Hibrit","(TSB'de bulunamadı)"
"HONDA","ZR-V e:HEV","Advance 2.0L Hibrit","(TSB'de bulunamadı)"
"CITROEN","e-C3","Plus 83 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","e-C3","Max 83 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","Ami","electric 6 kW Elektrik Motor","(TSB'de bulunamadı)"
"CITROEN","Ami","Dark Side 6 kW Elektrik Motor","(TSB'de bulunamadı)"
"CITROEN","C3 Aircross","Max-7 Koltuk  1.2 Hybrid 145* - eDCS6","(TSB'de bulunamadı)"
"CITROEN","C4","You 1.2 Hybrid 145 eDCS6","(TSB'de bulunamadı)"
"CITROEN","C4","Max 1.2 Hybrid 145 eDCS6","(TSB'de bulunamadı)"
"CITROEN","e-C3 Aircross","Max 83 kW Elektrikli Motor Standart Menzil","(TSB'de bulunamadı)"
"CITROEN","e-C3 Aircross","Max 83 kW Elektrikli Motor Uzun Menzil","(TSB'de bulunamadı)"
"CITROEN","ë-C5 Aircross","Plus 157 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","e-C4 X","Max 115 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","e-C4","Max 115 kW Elektrikli Motor","(TSB'de bulunamadı)"
"SKODA","Superb","L&K CRYSTAL Combi 1.5 TSI mHEV 150 PS DSG","(TSB'de bulunamadı)"
"SKODA","Superb","Combi L&K Crystal 2.0 TSI 265 PS DSG 4x4","(TSB'de bulunamadı)"
"SKODA","Octavia","Combi Sportline  1.5 TSI mHEV 150 PS DSG","(TSB'de bulunamadı)"
"SKODA","Elroq","ePrestige 60","(TSB'de bulunamadı)"
"ALFA ROMEO","Junıor Elettrıca","Speciale 115 kW 156 HP","(TSB'de bulunamadı)"
"SEAT","İbiza","Style Plus 1.0 TSI 116 PS DSG","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum  1.3 DIG-T 158PS X-Tronic CVT","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum 4WD  1.3 DIG-T 158PS X-Tronic CVT","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum Premium 1.3 DIG-T 158PS X-Tronic CVT 4x4","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum  e-POWER 190PS","(TSB'de bulunamadı)"
"NISSAN","X-Trail","PLATINUM 1.5 VC-T Mild Hybrid 163PS Auto","(TSB'de bulunamadı)"
"NISSAN","X-Trail","PLATINUM PREMIUM 1.5 VC-T Mild Hybrid 163PS Auto","(TSB'de bulunamadı)"
"NISSAN","Townstar Combi EV","Designpack 90 kW","(TSB'de bulunamadı)"
"NISSAN","Townstar Combi EV","Platinum 90 kW","(TSB'de bulunamadı)"
"NISSAN","Townstar Van","EV L1 Tekna+ 90 kW","(TSB'de bulunamadı)"
"AUDI","A3 Sedan","S line 35 Turbo FSI 150 hp S line S tronic PI","A3 SEDAN 1.4 TFSI 140 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 140 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.6 TDI 105 AMBITION S TRONIC"
"","","","A3 SEDAN 1.6 TDI 105 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 140 AMBITION STRONIC"
"","","","A3 SEDAN 1.6 TDI AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 150 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.6 TDI 110 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 125 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 125 AMBITION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 150 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 150 AMBITION S TRONIC"
"","","","A3 SEDAN 1.6 TDI 110 S TRONIC"
"","","","A3 SEDAN 1.6 TDI 110 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 125 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.2 TFSI 110 ATTRACTION"
"","","",""
"AUDI","A5 Sedan","Base TFSI quattro 200 kW","(TSB'de bulunamadı)"
"AUDI","Q5 Sportback","Base TFSI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","Q5 Sportback","Base TDI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","Rs e-tron GT Performance","Base 570 kW PS quattro","(TSB'de bulunamadı)"
"AUDI","Q4 e-tron","Base 40 e-tron","(TSB'de bulunamadı)"
"AUDI","Q4 e-tron","Base  45 e-tron","(TSB'de bulunamadı)"
"AUDI","A6 Avant e-tron","Base e-tron","(TSB'de bulunamadı)"
"AUDI","A6 Avant e-tron","Base e-tron performance","(TSB'de bulunamadı)"
"AUDI","E-tron GT Quattro","Quattro 93.4 kWh (530 BG)","(TSB'de bulunamadı)"
"AUDI","S3 Sportback","Quattro 2.0 Turbo FSI 310 hp S tronic","S3 SPORTBACK 2.0 TFSI QUATTRO"
"","","","RS3 SPORTBACK"
"","","","S3 SPORTBACK S TRONIC"
"","","","S3 SPORTBACK 2.0 TFSI 280 QUATTRO S TRONIC"
"","","","S3 SPORTBACK 2.0 TFSI 285 QUATTRO S TRONIC"
"","","","RS3 SPORTBACK 2.5 TFSI"
"","","",""
"AUDI","RS E-tron GT","Quattro performance 93.4 kWh (530 BG)","(TSB'de bulunamadı)"
"AUDI","RS3 Sportback","Base  TFSI quattro 294 kW S tronic","RS3 SPORTBACK"
"","","","RS3 SPORTBACK 2.5 TFSI"
"","","",""
"AUDI","Yeni A6 Avant","Base TDI quattro 150 kW","(TSB'de bulunamadı)"
"AUDI","A5 Avant","Base TFSI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","A5 Avant","Base TDI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","Q6 Suv e-tron","Base e-tron 55 quattro","(TSB'de bulunamadı)"
"AUDI","S e-tron GT","Base 435 kW PS quattro","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GLX Black Edition  1.4 MHEV 4x4 6AT AllGrip","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GL Elegance 1.4 MHEV 6AT","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GL Elegance 1.4 MHEV 4x4 6AT AllGrip","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GLX Premium 1.4 MHEV 6AT","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GLX Premium 1.4 MHEV 4x4 6AT AllGrip","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Black Edition (Çift Renk) 1.4 MHEV Allgrip 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GL Elegance 1.4 MHEV 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GL Elegance 1.4 MHEV 6AT AllGrip  (Tek Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GL Elegance 1.4 MHEV Allgrip 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Premium 1.4 MHEV 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Premium 1.4 MHEV 6AT AllGrip (Tek Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Premium  1.4 MHEV 6AT AllGrip (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Swift Hibrit","Life 1.2 MHEV CVT (Çift Renk)","(TSB'de bulunamadı)"
"VOLVO","XC60","Plus Bright T8 AWD plug-in hybrid","(TSB'de bulunamadı)"
"VOLVO","XC60","Plus Dark  Black Edition B5 AWD mild hybrid","(TSB'de bulunamadı)"
"VOLVO","XC60","Plus Black Edition  T8 AWD plug-in hybrid","(TSB'de bulunamadı)"
"VOLVO","EX40","Ultra Black Edition  SINGLE MOTOR EXTENDED RANGE","(TSB'de bulunamadı)"
"VOLVO","EC40","Ultra Black Edition SINGLE MOTOR EXTENDED RANGE","(TSB'de bulunamadı)"
