"SF_MARKA","SF_MODEL","SF_VERSIYON","TSB_TIP_ADI"
"FORD","Tourneo Courier","Deluxe 1.5L EcoBlue 100PS 6 İleri Manuel","(TSB'de bulunamadı)"
"FORD","Tourneo Courier","Active 1.0L EcoBoost 125PS 7 İleri Otomatik","(TSB'de bulunamadı)"
"FORD","Tourneo Courier","Active 1.5L EcoBlue Dizel 100PS 6 İleri Manuel","(TSB'de bulunamadı)"
"FORD","Kuga","Titanium 1.5L EcoBoost 186PS, 8 İleri Otomatik, Benzin","(TSB'de bulunamadı)"
"FORD","Transit Courier","Trend 1.0L EcoBoost 100PS 2.9m3 6 İleri Manuel","(TSB'de bulunamadı)"
"FORD","Transit Courier","Deluxe 1.0L EcoBoost 125PS  7 İleri Otomatik","(TSB'de bulunamadı)"
"FORD","Transit Courier","Deluxe 1.5L EcoBlue 100PS 2.9m3 6 İleri Manuel","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Deluxe Minibüs (Kısa Şasi, Bagajlı) 2.0L EcoBlue Upgrade 136PS 320S, 8+1, 6 İleri Manuel","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Deluxe Minibüs (Kısa Şasi, Bagajlı) 2.0L EcoBlue Upgrade 136PS 320S 8+1 8 İleri Otomatik","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Titanium Minibüs (Kısa Şasi, Bagajlı), 320S, 8+1, 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Deluxe Minibüs (Uzun Şasi), 320L, 9+1, 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Titanium Minibüs (Uzun Şasi, Bagajlı), 320L, 8+1, 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Titanium Plus Minibüs (Uzun Şasi, Bagajlı), 320L, 8+1, 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Tourneo Custom Minibüs","Titanium Plus Minibüs (Uzun Şasi), 320L, 9+1, 2.0L EcoBlue Upgrade 170PS, 8 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Tourneo Connect","Titanium 2.0L EcoBlue 122PS 7 İleri Otomatik","(TSB'de bulunamadı)"
"FORD","Puma Gen-E","Premıum SUV, 123KW, Otomatik, Elektrik","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Orta Şasi, Kasasız), 350MF, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Uzun Şasi, Kasasız), 350LF, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Orta Şasi, Kasalı), 350MF, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Orta Şasi, Kasasız), 350M, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Uzun Şasi, Kasalı), 350LF, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Uzun Şasi, Kasasız), 350L, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Orta Şasi, Kasalı), 350M, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Uzun Şasi, Kasalı), 350L, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Jumbo Şasi), 350E, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Uzun Şasi, Kasasız), 350L, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Jumbo Şasi), 350ED, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Çift Kabin (Uzun Şasi, Kasalı), 350L, 2.0L EcoBlue Upgrade 165PS, 6 İleri Manuel, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Kamyonet","Trend Tek Kabin (Uzun Şasi, Kasalı), 350L, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
